"ProcessName","Path","Id"
"bash","C:\Program Files\Git\usr\bin\bash.exe","4724"
"conhost","C:\Windows\system32\conhost.exe","3708"
"csrss",,"376"
"csrss",,"488"
"ctfmon","C:\Windows\system32\ctfmon.exe","1052"
"dllhost","C:\Windows\system32\DllHost.exe","1644"
"dllhost","C:\Windows\system32\dllhost.exe","2620"
"dwm","C:\Windows\system32\dwm.exe","944"
"explorer","C:\Windows\Explorer.EXE","3312"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","760"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","768"
"git-bash","C:\Program Files\Git\git-bash.exe","2928"
"Idle",,"0"
"lsass","C:\Windows\system32\lsass.exe","636"
"mintty","C:\Program Files\Git\usr\bin\mintty.exe","2428"
"msdtc","C:\Windows\System32\msdtc.exe","2600"
"MsMpEng",,"2132"
"NisSrv",,"3192"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","2444"
"Registry",,"88"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","2004"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3060"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3836"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","284"
"SecurityHealthService",,"4988"
"services",,"616"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","3864"
"sihost","C:\Windows\system32\sihost.exe","2904"
"smartscreen","C:\Windows\System32\smartscreen.exe","3400"
"smss",,"260"
"spoolsv","C:\Windows\System32\spoolsv.exe","1972"
"svchost","C:\Windows\system32\svchost.exe","372"
"svchost","C:\Windows\System32\svchost.exe","400"
"svchost","C:\Windows\System32\svchost.exe","588"
"svchost","C:\Windows\system32\svchost.exe","736"
"svchost","C:\Windows\system32\svchost.exe","852"
"svchost","C:\Windows\system32\svchost.exe","1064"
"svchost","C:\Windows\system32\svchost.exe","1176"
"svchost","C:\Windows\System32\svchost.exe","1240"
"svchost","C:\Windows\System32\svchost.exe","1256"
"svchost","C:\Windows\system32\svchost.exe","1276"
"svchost","C:\Windows\system32\svchost.exe","1352"
"svchost","C:\Windows\System32\svchost.exe","2036"
"svchost","C:\Windows\system32\svchost.exe","2072"
"svchost","C:\Windows\system32\svchost.exe","2760"
"svchost","C:\Windows\system32\svchost.exe","2912"
"System",,"4"
"taskhostw","C:\Windows\system32\taskhostw.exe","3000"
"taskhostw","C:\Windows\system32\taskhostw.exe","4052"
"VGAuthService","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","1048"
"vm3dservice","C:\Windows\System32\vm3dservice.exe","4768"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","1624"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","4784"
"wininit",,"480"
"winlogon","C:\Windows\system32\winlogon.exe","564"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","2832"
