"ProcessName","Path"
"conhost","C:\Windows\system32\conhost.exe"
"csrss",
"csrss",
"ctfmon",
"dllhost","C:\Windows\system32\DllHost.exe"
"dllhost",
"dwm",
"explorer","C:\Windows\Explorer.EXE"
"fontdrvhost",
"fontdrvhost",
"Idle",
"lsass",
"msdtc",
"MsMpEng",
"NisSrv",
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Registry",
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"
"services",
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sihost","C:\Windows\system32\sihost.exe"
"smartscreen","C:\Windows\System32\smartscreen.exe"
"smss",
"spoolsv",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost","C:\Windows\system32\svchost.exe"
"System",
"taskhostw","C:\Windows\system32\taskhostw.exe"
"VGAuthService",
"vm3dservice","C:\Windows\System32\vm3dservice.exe"
"vmtoolsd",
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
"wininit",
"winlogon",
"WmiPrvSE",
