"name","Path"
"AJRouter","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""AJRouter"""
"ALG","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""ALG"""
"AppIDSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""AppIDSvc"""
"Appinfo","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Appinfo"""
"AppMgmt","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""AppMgmt"""
"AppReadiness","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""AppReadiness"""
"AppVClient","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""AppVClient"""
"AppXSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""AppXSvc"""
"AudioEndpointBuilder","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""AudioEndpointBuilder"""
"Audiosrv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Audiosrv"""
"AxInstSV","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""AxInstSV"""
"BFE","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""BFE"""
"BITS","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""BITS"""
"BrokerInfrastructure","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""BrokerInfrastructure"""
"BTAGService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""BTAGService"""
"BthAvctpSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""BthAvctpSvc"""
"bthserv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""bthserv"""
"camsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""camsvc"""
"CDPSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""CDPSvc"""
"CertPropSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""CertPropSvc"""
"ClipSVC","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""ClipSVC"""
"COMSysApp","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""COMSysApp"""
"CoreMessagingRegistrar","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""CoreMessagingRegistrar"""
"CryptSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""CryptSvc"""
"CscService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""CscService"""
"DcomLaunch","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DcomLaunch"""
"defragsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""defragsvc"""
"DeviceAssociationService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DeviceAssociationService"""
"DeviceInstall","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DeviceInstall"""
"DevQueryBroker","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DevQueryBroker"""
"Dhcp","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Dhcp"""
"diagnosticshub.standardcollector.service","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""diagnosticshub.standardcollector.service"""
"DiagTrack","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DiagTrack"""
"DmEnrollmentSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DmEnrollmentSvc"""
"dmwappushservice","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""dmwappushservice"""
"Dnscache","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Dnscache"""
"DoSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DoSvc"""
"dot3svc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""dot3svc"""
"DPS","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DPS"""
"DsmSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DsmSvc"""
"DsSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DsSvc"""
"Eaphost","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Eaphost"""
"EFS","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""EFS"""
"embeddedmode","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""embeddedmode"""
"EntAppSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""EntAppSvc"""
"EventLog","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""EventLog"""
"EventSystem","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""EventSystem"""
"fdPHost","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""fdPHost"""
"FDResPub","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""FDResPub"""
"FontCache","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""FontCache"""
"FrameServer","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""FrameServer"""
"gpsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""gpsvc"""
"GraphicsPerfSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""GraphicsPerfSvc"""
"hidserv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""hidserv"""
"HvHost","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""HvHost"""
"icssvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""icssvc"""
"IKEEXT","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""IKEEXT"""
"InstallService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""InstallService"""
"iphlpsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""iphlpsvc"""
"KeyIso","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""KeyIso"""
"KPSSVC","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""KPSSVC"""
"KtmRm","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""KtmRm"""
"LanmanServer","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""LanmanServer"""
"LanmanWorkstation","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""LanmanWorkstation"""
"lfsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""lfsvc"""
"LicenseManager","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""LicenseManager"""
"lltdsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""lltdsvc"""
