#TYPE Microsoft.Management.Infrastructure.CimInstance#ROOT/StandardCimv2/MSFT_NetTCPConnection
"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Listen",,"InHost",,,,"::++49672++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:44 PM","::","49672","660","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:36 PM","::","49668","624","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:36 PM","::","49667","1996","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","::","49666","1132","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","::","49665","368","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","::","49664","484","::","0",
"Listen",,"InHost",,,,"::++47001++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:36 PM","::","47001","4","::","0",
"Listen",,"InHost",,,,"::++5985++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:36 PM","::","5985","4","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:36 PM","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","::","135","876","::","0",
"Listen",,"InHost",,,,"0.0.0.0++49672++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:44 PM","0.0.0.0","49672","660","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49668++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:36 PM","0.0.0.0","49668","624","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:36 PM","0.0.0.0","49667","1996","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","0.0.0.0","49666","1132","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","0.0.0.0","49665","368","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","0.0.0.0","49664","484","0.0.0.0","0",
"Listen",,"InHost",,,,"192.168.229.138++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","192.168.229.138","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/19/2021 2:03:35 PM","0.0.0.0","135","876","0.0.0.0","0",
